feedback_id,feedback,sentiment,category,location
R01544,the workshop was average asap in ECE Lab,neutral,Events,Campus
R00074,internet is available but average bro,neutral,Wi-Fi,Hostel B
R01442,some areas are poorly lit in Canteen,negative,Safety,C Block
R00289,the room maintenance is good in Main Gate,positive,Hostel,Campus
R00559,classes are useful,positive,Academics,Central Lab
R01418,security arrangements are normal bro in B Block,neutral,Safety,Canteen
R01047,campus facilities are poorly maintained in Central Lab,negative,Infrastructure,A Block
R00292,the room maintenance is good,positive,Hostel,Main Gate
R01038,campus facilities are poorly maintained bro,negative,Infrastructure,Hostel A
R00663,course material is outdated bro,negative,Academics,Central Lab
R00920,reading room is overcrowded pls fix,negative,Library,Campus
R00120,wifi signal is weak in my block bro,negative,Wi-Fi,Central Lab
R01589,event arrangements were poor bro in A Block,negative,Events,C Block
R01458,emergency facilities need improvement pls fix in ECE Lab,negative,Safety,B Block
R00303,hostel room is clean in Library,positive,Hostel,ECE Lab
R01314,the approval process takes forever bro in B Block,negative,Administration,A Block
R01542,the workshop was average asap in Hostel A,neutral,Events,Central Lab
R00342,room facilities are average in Campus,neutral,Hostel,C Block
R01219,office staff were helpful,positive,Administration,Canteen
R01548,the program was normal asap in C Block,neutral,Events,Hostel B
R01068,there are damaged desks bro in Central Lab,negative,Infrastructure,Library
R00894,books are available in Hostel B,neutral,Library,ECE Lab
R00783,lab computers are too slow in Main Gate,negative,Laboratory,C Block
R00766,the projector in the lab is broken asap,negative,Laboratory,ECE Lab
R00568,classes are useful pls fix in Central Lab,positive,Academics,Hostel B
R01171,corridors are not cleaned regularly asap,negative,Cleanliness,Hostel B
R00587,course content is normal pls fix,neutral,Academics,Library
R01408,campus safety is average asap,neutral,Safety,Campus
R00415,transport service is convenient in Library,positive,Transport,ECE Lab
R00570,faculty supports good,positive,Academics,Hostel A
R00272,hostel room is clean bro,positive,Hostel,C Block
R00542,the lecturer explains concepts clearly asap,positive,Academics,B Block
R00761,the lab session was normal asap,neutral,Laboratory,A Block
R01122,campuss clean in C Block,positive,Cleanliness,A Block
R00764,facilities are average pls fix,neutral,Laboratory,Central Lab
R01611,event arrangements were poor in A Block,negative,Events,B Block
R00088,wifi works most of time in B Block,neutral,Wi-Fi,Hostel B
R00424,transport service is convenient in Canteen,positive,Transport,Canteen
R01581,the program started very late,negative,Events,C Block
R00092,wifi drops every few minutes,negative,Wi-Fi,Central Lab
R00140,food is tasty today,positive,Food,Hostel A
R01415,campus safety is average,neutral,Safety,Hostel B
R00101,net gets stuck whenever I try to upload,negative,Wi-Fi,Hostel B
R01388,lighting around campus is good bro,positive,Safety,Library
R00754,lab facilities are okay bro,neutral,Laboratory,B Block
R00662,classes are frequently cancelled in Hostel B,negative,Academics,Hostel B
R01002,facilities are normal in Campus,neutral,Infrastructure,C Block
R00218,mess food is okay asap in ECE Lab,neutral,Food,A Block
R00044,wifi is stable today in Campus,positive,Wi-Fi,ECE Lab
R00598,teaching is average bro in ECE Lab,neutral,Academics,C Block
R00095,campus wifi is not working properly,negative,Wi-Fi,Campus
R00480,bus service is manageable asap,neutral,Transport,Hostel A
