id,task_type,original_id,text,output
AOC_101,AOC,2_11074_250,"exams are full MC, you can kinda guess the answers using common sense. use libgen to get the textbook instead of paying$ 100 for it.","[{'aspect': 'exams', 'category': 'Course - Assessment', 'opinion': 'full MC'}
 {'aspect': 'exams', 'category': 'Course - Assessment', 'opinion': 'you can kinda guess the answers using common sense'}]"
AOC_102,AOC,2_1423_1309,"Notes were unorganized and no help on piazza, barely survived the chapter quizzes","[{'aspect': 'Notes', 'category': 'Course - Course materials', 'opinion': 'unorganized'}
 {'aspect': 'piazza', 'category': 'Course - Technology & tools', 'opinion': 'no help'}
 {'aspect': 'chapter quizzes', 'category': 'Course - Assessment', 'opinion': 'barely survived'}]"
AOC_103,AOC,2_2620_941,EWWWWW worst class ever,"[{'aspect': 'class', 'category': 'Course - Overall', 'opinion': 'worst'}]"
AOC_104,AOC,2_5630_873,"Interesting material, but some parts are tricky. Fortunately, the midterm was much easier than the assignments.","[{'aspect': 'material', 'category': 'Course - Content', 'opinion': 'Interesting'}
 {'aspect': 'some parts', 'category': 'Course - Difficulty', 'opinion': 'tricky'}
 {'aspect': 'midterm', 'category': 'Course - Assessment', 'opinion': 'much easier than the assignments'}]"
AOC_105,AOC,1_37_2340_3837,"Very organized, test to the lecture notes accurately. Found her condescending though.","[{'aspect': 'her', 'category': 'Staff - Teaching', 'opinion': 'Very organized'}
 {'aspect': 'null', 'category': 'Course - Assessment', 'opinion': 'test to the lecture notes accurately'}
 {'aspect': 'her', 'category': 'Staff - Attitude', 'opinion': 'condescending'}]"
AOC_106,AOC,3_124_516_228,Fine university just nothing particularly stand out.,"[{'aspect': 'university', 'category': 'University - Overall', 'opinion': 'Fine'}
 {'aspect': 'university', 'category': 'University - Overall', 'opinion': 'nothing particularly stand out'}]"
AOC_107,AOC,2_9472_1669,"Read table, linearly interpolate, plug into calculator, repeat;)",[]
AOC_108,AOC,2_5556_748,"Good course, Interesting material. Prof can be a harsh grader, but very responsive and helpful. Readings can be too long so I just skimmed them and read the PP lectures. You need to do 5 journals, a group contract, a talking point( discussion), and a final paper. In addition to weekly participation which accounts for 10% of the grade.","[{'aspect': 'course', 'category': 'Course - Overall', 'opinion': 'Good'}
 {'aspect': 'material', 'category': 'Course - Course materials', 'opinion': 'Interesting'}
 {'aspect': 'Prof', 'category': 'Staff - Teaching', 'opinion': 'harsh grader'}
 {'aspect': 'Prof', 'category': 'Staff - Attitude', 'opinion': 'responsive and helpful'}
 {'aspect': 'Readings', 'category': 'Course - Course materials', 'opinion': 'too long'}]"
AOC_109,AOC,2_1495_1309,Easiest second year MATH/ CS course.,"[{'aspect': 'course', 'category': 'Course - Difficulty', 'opinion': 'Easiest'}]"
AOC_110,AOC,1_89_2465_4547,"Don't do it! She's an awful instructor. My class didn't get our syllabus until 3 weeks into the course& even once we did, she was constantly moving around deadlines. I only JUST got back papers that I turned in almost 2 months ago& I still don't have a letter grade for the course. The class wouldn't be so stressful& difficult if she was organized.","[{'aspect': 'null', 'category': 'Staff - Overall', 'opinion': ""Don't do it""}
 {'aspect': 'instructor', 'category': 'Staff - Overall', 'opinion': 'awful'}
 {'aspect': 'instructor', 'category': 'Staff - Teaching', 'opinion': 'if she was organized'}
 {'aspect': 'instructor', 'category': 'Staff - Teaching', 'opinion': 'was constantly moving around deadlines'}
 {'aspect': 'class', 'category': 'Course - Difficulty', 'opinion': 'difficult'}
 {'aspect': 'class', 'category': 'Course - Overall', 'opinion': 'stressful'}]"
AOC_111,AOC,1_241_1042_535,unless you're a athletic training major this class should be avoided!,"[{'aspect': 'this class', 'category': 'Course - Overall', 'opinion': 'should be avoided'}]"
AOC_112,AOC,2_4060_1174,"they don't teach you much about the assignments in the course, and that makes it hard","[{'aspect': 'assignments', 'category': 'Course - Content', 'opinion': ""don't teach you much about""}
 {'aspect': 'course', 'category': 'Course - Difficulty', 'opinion': 'hard'}]"
AOC_113,AOC,2_9771_1660,I recommend this ENGL course as the PH/ Health Studies English requirement.,"[{'aspect': 'ENGL course', 'category': 'Course - Overall', 'opinion': 'recommend'}]"
AOC_114,AOC,2_4034_1174,Course was super interesting and concepts were not that hard to get. Professor live-streamed on twitch and uploaded the lectures on LEARN and Youtube. Assignments were straight forward to code but hell to debug.,"[{'aspect': 'Course', 'category': 'Course - Overall', 'opinion': 'super interesting'}
 {'aspect': 'concepts', 'category': 'Course - Difficulty', 'opinion': 'not that hard to get'}
 {'aspect': 'Assignments', 'category': 'Course - Assessment', 'opinion': 'straight forward to code'}
 {'aspect': 'Assignments', 'category': 'Course - Assessment', 'opinion': 'hell to debug'}]"
AOC_115,AOC,2_13322_1673,"You may be able to expect your grade in 301 to be 10 % lower than your other JAPAN courses. Used to take JAPAN courses as bird courses, but this one really proved me wrong.","[{'aspect': 'grade in 301', 'category': 'Course - Difficulty', 'opinion': '10 % lower than your other JAPAN courses'}
 {'aspect': 'JAPAN courses', 'category': 'Course - Difficulty', 'opinion': 'bird courses'}
 {'aspect': 'null', 'category': 'Course - Difficulty', 'opinion': 'proved me wrong'}]"
AOC_116,AOC,1_89_17_7896,"Very easy to talk to, super fun class. Adam is fantastic, super helpful. Easy easy class as long as you hand in your work, the class practically writes the papers for you.","[{'aspect': 'Adam', 'category': 'Staff - Attitude', 'opinion': 'Very easy to talk to'}
 {'aspect': 'class', 'category': 'Course - Overall', 'opinion': 'super fun'}
 {'aspect': 'Adam', 'category': 'Staff - Helpfulness', 'opinion': 'super helpful'}
 {'aspect': 'Adam', 'category': 'Staff - Overall', 'opinion': 'fantastic'}
 {'aspect': 'class', 'category': 'Course - Difficulty', 'opinion': 'Easy easy'}
 {'aspect': 'class', 'category': 'Course - Overall', 'opinion': 'practically writes the papers for you'}]"
AOC_117,AOC,2_1569_351,"Hard but a bit rewarding. Probably more useful in academia than for interviews, but a good preparation for upcoming algorithms courses.","[{'aspect': 'null', 'category': 'Course - Overall', 'opinion': 'Hard'}
 {'aspect': 'null', 'category': 'Course - Overall', 'opinion': 'a bit rewarding'}
 {'aspect': 'null', 'category': 'Course - Content', 'opinion': 'more useful in academia than for interviews'}
 {'aspect': 'null', 'category': 'Course - Overall', 'opinion': 'a good preparation for upcoming algorithms courses'}]"
AOC_118,AOC,1_156_35_3282,"He just gets up there and lectures. He is kind of boring, but he's very nice and willing to help you if you don't understand anything.","[{'aspect': 'He', 'category': 'Staff - Teaching', 'opinion': 'very nice'}
 {'aspect': 'He', 'category': 'Staff - Teaching', 'opinion': 'kind of boring'}
 {'aspect': 'He', 'category': 'Staff - Attitude', 'opinion': 'very nice'}
 {'aspect': 'He', 'category': 'Staff - Helpfulness', 'opinion': 'willing to help'}]"
AOC_119,AOC,2_12754_268,Pretty easy course that you can take even if you skip all the classes( I did because of work and I still managed to get a high grade). So pretty good for Co-Op. Textbook is a must since you need to cite a lot of it for the assignments. Four assignments and that's it: mess even one of them up and your average will take a big hit. But grading policy was quite lenient( got high grades even though I procrastinated a lot and wrote whatever came to mind). Never met the Prof. because much of my learning was asynchronous but everyone says he's one of the best in the field so there's that. Course was kind of useful but also kind of felt like a waste of time. But that could just be me.,"[{'aspect': 'course', 'category': 'Course - Difficulty', 'opinion': 'Pretty easy'}
 {'aspect': 'course', 'category': 'Course - Overall', 'opinion': 'pretty good for Co-Op'}
 {'aspect': 'Textbook', 'category': 'Course - Course materials', 'opinion': 'a must'}
 {'aspect': 'grading policy', 'category': 'Staff - Teaching', 'opinion': 'quite lenient'}
 {'aspect': 'Course', 'category': 'Course - Overall', 'opinion': 'kind of felt like a waste of time'}
 {'aspect': 'Course', 'category': 'Course - Overall', 'opinion': 'kind of useful'}]"
