feedback_id,feedback,sentiment,category,location
R00001,wifi is stable today,positive,Wi-Fi,Hostel A
R00002,campus net is fast,positive,Wi-Fi,Campus
R00003,wifis stable today in B Block,positive,Wi-Fi,Hostel A
R00004,campus internet is fast,positive,Wi-Fi,Central Lab
R00006,network works smoothly in my block,positive,Wi-Fi,C Block
R00007,good internet connection in library in Hostel A,positive,Wi-Fi,Main Gate
R00008,WiFi is stable today,positive,Wi-Fi,Main Gate
R00009,network works smoothly in my block bro,positive,Wi-Fi,ECE Lab
R00010,wifis stable today in Hostel B,positive,Wi-Fi,Campus
R00011,network works smoothly in my block pls fix,positive,Wi-Fi,A Block
R00012,campus internet is fast bro,positive,Wi-Fi,Hostel A
R00013,wifis stable today in Campus,positive,Wi-Fi,Main Gate
R00019,network works smoothly in my block in Canteen,positive,Wi-Fi,Main Gate
R00020,campus internet is fast asap,positive,Wi-Fi,Campus
R00021,good net connection in the library in Hostel A,positive,Wi-Fi,Central Lab
R00024,good internet connection in the library,positive,Wi-Fi,B Block
R00026,wifis stable today,positive,Wi-Fi,ECE Lab
R00029,network works smoothly in my block in C Block,positive,Wi-Fi,ECE Lab
R00030,wifi is stable today bro,positive,Wi-Fi,C Block
R00034,network works smoothly in my block bro in Hostel A,positive,Wi-Fi,Canteen
R00038,good internet connection in the library pls fix,positive,Wi-Fi,Hostel A
R00040,network works smoothly in my block asap,positive,Wi-Fi,ECE Lab
R00041,wifi is stable today pls fix in Main Gate,positive,Wi-Fi,A Block
R00042,campus internet is fast pls fix in Campus,positive,Wi-Fi,A Block
R00044,wifi is stable today in Campus,positive,Wi-Fi,ECE Lab
R00045,campus internet is fast in Canteen,positive,Wi-Fi,Canteen
R00046,wifi works most of the time pls fix,neutral,Wi-Fi,Library
R00047,internet is available but average in Library,neutral,Wi-Fi,Main Gate
R00048,wifi works most of the time,neutral,Wi-Fi,A Block
R00049,wifi is okay in my block,neutral,Wi-Fi,Main Gate
R00050,wifi is okay in my block pls fix in Central Lab,neutral,Wi-Fi,ECE Lab
R00051,internets available but average in ECE Lab,neutral,Wi-Fi,Hostel A
R00052,wifi is okay in my block asap,neutral,Wi-Fi,Central Lab
R00054,WiFi is okay in my block,neutral,Wi-Fi,Hostel A
R00055,internets available but average,neutral,Wi-Fi,Hostel A
R00056,wifi works most of the time in A Block,neutral,Wi-Fi,Library
R00057,network speed is normal today asap in Central Lab,neutral,Wi-Fi,Campus
R00058,wifi works most of the time in Hostel A,neutral,Wi-Fi,A Block
R00059,wifi is okay in my block in Canteen,neutral,Wi-Fi,ECE Lab
