feedback_id,feedback,sentiment,category,location,date
CP0522,"Honestly, the lab sessions are useful and the instruments are accessible.",positive,Laboratory,Communication Lab,2026-02-20
CP0738,There is a recurring maintenance issue in the block.,negative,Infrastructure,Classroom C204,2026-02-09
CP0741,The pathway near Back Gate is poorly lit at night. This needs attention.,negative,Safety,Back Gate,2026-05-18
CP0661,"As a student, the venue was overcrowded during the event.",negative,Events,Seminar Hall,2026-03-19
CP0412,The library facilities are adequate.,neutral,Library,Reading Hall,2026-05-16
CP0679,"In my experience, the lab equipment was working properly today.",positive,Laboratory,Communication Lab,2026-02-04
CP0627,"For our block, the lectures are clear and the faculty explain concepts well. Please look into it.",positive,Academics,ECE Department,2026-04-06
CP0514,"For our block, the room fan is not working properly.",negative,Hostel,Hostel A,2026-02-07
CP0860,The Wi-Fi in Hostel C is fast and reliable today. This needs attention.,positive,Wi-Fi,Hostel C,2026-06-14
CP0137,My request has been pending for several days.,negative,Administration,Academic Office,2026-06-29
CP0812,"Overall, the event schedule was clear and the sessions were useful.",positive,Events,Main Ground,2026-04-16
CP0077,The administrative process takes too long. This needs attention.,negative,Administration,Admission Office,2026-06-03
CP0637,The lectures are clear and the faculty explain concepts well. Please look into it.,positive,Academics,Lecture Hall,2026-07-02
CP0974,The hostel rooms are clean and comfortable. Please look into it.,positive,Hostel,Hostel C,2026-03-14
CP0939,Hostel maintenance has improved recently.,positive,Hostel,Boys Hostel,2026-06-14
CP0900,The event started late and communication was unclear. It happens quite often.,negative,Events,Seminar Hall,2026-02-04
CP0281,"Today, the event schedule was poorly coordinated. This needs attention.",negative,Events,Open Air Theatre,2026-02-18
CP0884,the common areas are being maintained well.,positive,Hostel,Hostel B,2026-06-27
CP0762,the network worked smoothly throughout the day in Hostel C.,positive,Wi-Fi,Hostel C,2026-03-03
CP0320,"Today, the lectures move too fast and some concepts are difficult to follow.",negative,Academics,Classroom,2026-04-14
CP0550,The library closing time is too early for students.,negative,Library,Reference Section,2026-02-09
CP0175,Cleanliness is generally okay but varies by location. Hope this can be improved.,neutral,Cleanliness,Canteen,2026-05-05
CP0372,"As a student, the food at the mess was tasty today.",positive,Food,Hostel B,2026-02-01
CP0528,The laboratory is well equipped for the practical sessions.,positive,Laboratory,Embedded Lab,2026-06-09
CP0211,The bus route worked smoothly today.,positive,Transport,Hostel Route,2026-02-18
CP0236,The lab is usable but additional components would help.,neutral,Laboratory,Communication Lab,2026-05-28
CP0102,the event was well organized and informative.,positive,Events,Main Ground,2026-02-08
CP0987,The classroom furniture is damaged and uncomfortable. Please look into it.,negative,Infrastructure,C Block,2026-06-30
CP0903,The projector in the lab is not working. It happens quite often.,negative,Laboratory,Computer Lab,2026-02-16
CP0948,"Overall, the recent campus event was engaging and well managed. Hope this can be improved.",positive,Events,Main Ground,2026-05-06
CP0347,The classroom infrastructure is clean & comfortable.,positive,Infrastructure,ECE Block,2026-03-16
CP0140,"As a student, the office staff handled my request quickly.",positive,Administration,Department Office,2026-01-16
CP0622,"Today, the laboratory is well equipped for the practical sessions.",positive,Laboratory,Communication Lab,2026-05-30
CP0500,"In my experience, hostel services are average at the moment. Please look into it.",neutral,Hostel,Hostel C,2026-02-09
CP0371,The lab is usable but additional components would help.,neutral,Laboratory,Electronics Lab,2026-04-19
CP0199,The washroom near Hostel needs more frequent cleaning.,negative,Cleanliness,Hostel,2026-05-07
CP0688,the washroom near ECE Block needs more frequent cleaning.,negative,Cleanliness,ECE Block,2026-02-03
CP0585,The pathway near Parking Area is poorly lit at night.,negative,Safety,Parking Area,2026-03-18
CP0902,"Today, the bus service is generally okay.",neutral,Transport,Hostel Route,2026-05-28
CP0060,Food quality is generally acceptable but inconsistent.,neutral,Food,Hostel C,2026-06-20
CP0329,"Overall, the hostel room has a maintenance issue that has not been fixed.",negative,Hostel,Boys Hostel,2026-01-10
CP0097,"Today, the pathway near Hostel Road is poorly lit at night. Hope this can be improved.",negative,Safety,Hostel Road,2026-04-21
CP0313,"Overall, hostel maintenance complaints take too long to get resolved.",negative,Hostel,Hostel A,2026-01-17
CP0975,"The course is manageable, although some topics need more examples.",neutral,Academics,ECE Department,2026-04-17
CP0300,"Honestly, the room is usable, although maintenance takes some time. This needs attention.",neutral,Hostel,Hostel B,2026-05-25
CP0278,The library facilities are adequate.,neutral,Library,Digital Library,2026-01-20
CP0925,The bus timings are acceptable but could be more consistent.,neutral,Transport,Evening Shuttle,2026-04-22
CP0602,The washrooms were clean and well maintained.,positive,Cleanliness,ECE Block,2026-06-12
CP0440,"Most instruments work, although a few need maintenance.",neutral,Laboratory,Embedded Lab,2026-02-27
CP0838,The network worked smoothly throughout the day in C Block.,positive,Wi-Fi,C Block,2026-05-18
CP0571,The course material is useful and easy to follow.,positive,Academics,ECE Department,2026-03-13
CP0880,The lectures are underst&able but the pace varies. Please look into it.,neutral,Academics,Mechanical Block,2026-03-19
CP0262,Network connectivity in Library becomes unusable after evening. Hope this can be improved.,negative,Wi-Fi,Library,2026-06-27
CP0579,the lectures are understandable but the pace varies.,neutral,Academics,Classroom,2026-06-21
CP0024,The teaching is okay but more practical sessions would help. Hope this can be improved.,neutral,Academics,Lecture Hall,2026-01-20
